Date,Username,Content,Mentions
"2023-02-19,22:46:49",big papa,I wanna try this place in Irvine,
"2023-02-19,22:46:38",big papa,Does anyone wanna get hotpot soon,
"2023-02-19,20:05:28",KFC,<@246124303643312138> get insta,~~Wild~~#5104
"2023-02-19,20:05:24",KFC,https://www.instagram.com/reel/CoqVyTFjv1v/?igshid=YmMyMTA2M2Y=,
"2023-02-19,19:42:30",Hat Tipper Lady Acquirer,I’m telling majo you think Escobar was actually cool,
"2023-02-19,19:41:54",~~Wild~~,https://tenor.com/view/bad-boy-nice-guy-turn-from-nice-guy-to-slightly-bad-boy-slightly-bad-boy-tik-tok-gif-25518244,
"2023-02-19,19:39:12",Hat Tipper Lady Acquirer,STOP,~~Wild~~#5104
"2023-02-19,19:30:13",aamindehkordi,After + jiji,big papa#5892
"2023-02-19,19:29:37",KFC,delete or I show Mona and it's gg for you and Majo,
"2023-02-19,19:29:08",big papa,do u guys eat dinner before or after,
"2023-02-19,19:28:46",big papa,6pm? @everyone,
"2023-02-19,19:27:51",big papa,💀💀💀,
"2023-02-19,19:27:50",~~Wild~~,https://media.discordapp.net/attachments/1040448863326195714/1054632588200906842/dumbass.gif?width=467&height=676,
"2023-02-19,19:27:48",big papa,ROBERT,
"2023-02-19,19:27:10",big papa,What time,
"2023-02-19,19:27:09",big papa,But guys,
"2023-02-19,19:27:07",~~Wild~~,https://media.discordapp.net/attachments/710745951236522019/999294375374884924/vz.gif,
"2023-02-19,19:26:57",big papa,No I swear grip strength be shit 😭😭😭😭,aamindehkordi#1473
"2023-02-19,19:26:35",~~Wild~~,https://media.discordapp.net/attachments/456347679950372865/1075327845611614288/FBFE1907-AF75-4665-A73E-47FF43E671A3.gif,
"2023-02-19,19:26:30",aamindehkordi,I guarantee Kate will be able to do a v3,big papa#5892
"2023-02-19,19:26:25",~~Wild~~,https://media.discordapp.net/attachments/763609389562331188/1046065087007428679/8A5D20DC-80AC-437F-BEBF-FA924A9892FE.gif,
"2023-02-19,19:26:14",aamindehkordi,W,
"2023-02-19,19:26:09",aamindehkordi,"U need a bitches boost, ur technique and fingers are the issue not strength",MvPain#4262
"2023-02-19,19:26:01",big papa,Maybe we can all get dinner after ! Or before,
"2023-02-19,19:25:15",big papa,@everyone can we go earlier then like 9pm tho cuz I have to wake up at 6am the next day for school,
"2023-02-19,19:23:39",big papa,💀💀💀,
"2023-02-19,19:23:35",Hat Tipper Lady Acquirer,LMAOOO,
"2023-02-19,19:23:17",big papa,Nope 😂😂😂,
"2023-02-19,19:23:13",big papa,I’m not very coordinated lol,
"2023-02-19,19:23:11",MvPain,ur v3 min,
"2023-02-19,19:23:06",big papa,no I’m fr,
"2023-02-19,19:23:01",MvPain,cap,
"2023-02-19,19:23:00",big papa,We can go practice as newbs,
"2023-02-19,19:22:52",big papa,I barely can do some v1 haha,MvPain#4262
"2023-02-19,19:22:47",MvPain,need a strength boost,
"2023-02-19,19:22:35",MvPain,Too good at v1 too bad at v2,
"2023-02-19,19:22:29",Hat Tipper Lady Acquirer,Him,
"2023-02-19,19:22:26",Hat Tipper Lady Acquirer,https://tenor.com/view/text-bubble-gif-25667436,
"2023-02-19,19:21:30",big papa,Why no climb ?,MvPain#4262
"2023-02-19,19:16:49",MvPain,I’m down for gym no climb,
"2023-02-19,19:16:12",Hat Tipper Lady Acquirer,I’m down,
"2023-02-19,19:16:08",aamindehkordi,"down, I’m also going again wednesday if anyone wants to come",
"2023-02-19,19:14:59",big papa,Tomo?,
"2023-02-19,19:14:55",big papa,Climbing & gym?,
"2023-02-19,19:14:50",big papa,So,
"2023-02-19,19:14:48",big papa,@everyone,
"2023-02-19,19:14:39",big papa,😂,
"2023-02-19,18:22:12",Hat Tipper Lady Acquirer,Asian woman in a white BMW is literally a god level threat like one punch man,
"2023-02-19,18:20:18",big papa,Maybe she just a bad driver like me 😭,
"2023-02-19,18:20:10",big papa,I be edging my parking spot bro I can’t park,
"2023-02-19,18:19:50",big papa,That’s me,Hat Tipper Lady Acquirer#1904
"2023-02-19,18:17:27",Hat Tipper Lady Acquirer,And the other nearly hit me in a parking lot bc she was swerving like a nf,
"2023-02-19,18:17:08",Hat Tipper Lady Acquirer,The BMW took like 2 full minutes to park,
"2023-02-19,18:16:57",Hat Tipper Lady Acquirer,Just awful ass driving,
"2023-02-19,18:14:48",big papa,What happen,Hat Tipper Lady Acquirer#1904
"2023-02-19,18:09:20",Hat Tipper Lady Acquirer,"Just had two women, both in white vehicles, one of them an Asian in a BMW (God level monster) just be complete tards next to me",
"2023-02-19,17:58:53",~~Wild~~,i make an anonymous bomb threat to help 'convince' them,
"2023-02-19,17:56:31",big papa,I think they said few hundred when I asked,MvPain#4262
"2023-02-19,17:56:16",big papa,UCI 😂,KFC#2019
"2023-02-19,17:56:10",big papa,Like a master program kinda,Hat Tipper Lady Acquirer#1904
"2023-02-19,17:54:55",MvPain,How many people apply,
"2023-02-19,17:54:37",Hat Tipper Lady Acquirer,What’s that,
"2023-02-19,17:52:29",KFC,to wear,
"2023-02-19,17:48:38",big papa,I NEED IT,
"2023-02-19,17:48:30",big papa,Only 10 people get in out of all their applicants,
"2023-02-19,17:48:18",big papa,I just submitted my PostBacc shit,
"2023-02-19,17:48:11",big papa,Y’all imma need ur PRAYERS,
"2023-02-19,17:09:55",big papa,Definetley not Bsian,
"2023-02-19,17:09:49",big papa,My dad says it’s Asian not A-sian,~~Wild~~#5104
"2023-02-19,15:54:27",~~Wild~~,<@499767801616269322> when she gets an A- (shit grade),big papa#5892
"2023-02-19,15:54:18",~~Wild~~,https://media.discordapp.net/attachments/456352116269907968/1077006609038970900/FpXATOpaIAA1ZAk.png,
"2023-02-19,14:53:33",KFC,he was going to bed when me and jett left i think,
"2023-02-19,14:53:15",KFC,lmao,
"2023-02-19,14:50:57",Hat Tipper Lady Acquirer,He has not woken up since the morning,
"2023-02-19,14:50:50",Hat Tipper Lady Acquirer,It is 3pm,
"2023-02-19,13:29:26",aamindehkordi,Deep cut,
"2023-02-19,13:28:32",aamindehkordi,https://youtu.be/Me_zKLJ1uHw,
"2023-02-19,10:49:03",big papa,it’s soooo good like that,
"2023-02-19,10:48:58",big papa,<@429701532309520404> natto with a egg yolk cracked in just changed my life,KFC#2019
"2023-02-18,18:11:11",~~Wild~~,Pop,
"2023-02-18,16:50:51",aamindehkordi,fax,
"2023-02-18,16:08:08",MvPain,Based grandparents,big papa#5892
"2023-02-18,15:07:31",big papa,I don’t think they ever drink water,
"2023-02-18,15:07:21",big papa,Bruh my grandparents are crazy look at this,
"2023-02-18,12:18:03",Hat Tipper Lady Acquirer,You don’t,big papa#5892
"2023-02-18,12:11:09",big papa,💀,
"2023-02-18,12:11:08",big papa,HOW DO U PLAY GAMES IN THE HOT TUB,
"2023-02-18,12:11:01",big papa,HOT TUB STREAMER,
"2023-02-18,12:07:50",Hat Tipper Lady Acquirer,Thank you,
"2023-02-18,12:07:45",KFC,hot tub streamer = money,
"2023-02-18,11:59:29",big papa,😂😂😂😂,
"2023-02-18,11:59:25",big papa,Wait what was the point of this,Hat Tipper Lady Acquirer#1904
"2023-02-18,11:57:03",aamindehkordi,Big ups this week,
"2023-02-18,11:56:05",big papa,Yesssss,aamindehkordi#1473
"2023-02-18,11:56:03",aamindehkordi,Yes,big papa#5892
"2023-02-18,11:55:51",aamindehkordi,Protein edible cookies,
"2023-02-18,11:55:48",big papa,Like an actually interesting case study,
"2023-02-18,11:55:43",aamindehkordi,I’ve been saying this I’m so down,big papa#5892
"2023-02-18,11:55:38",big papa,Wouldn’t it be interesting,
"2023-02-18,11:55:30",Hat Tipper Lady Acquirer,Robby has a hot tub at his house,
"2023-02-18,11:55:27",aamindehkordi,That sounds lit,
"2023-02-18,11:55:00",aamindehkordi,I can set a lot of it up for u,
"2023-02-18,11:54:53",aamindehkordi,I have a lot of old streaming gear,
"2023-02-18,11:54:43",aamindehkordi,I got u,
"2023-02-18,11:54:38",Hat Tipper Lady Acquirer,https://tenor.com/view/amouranth-streamer-twitch-gif-21182938,
"2023-02-18,11:54:34",big papa,💀,
"2023-02-18,11:54:31",big papa,Like an actual longitudal case study,
"2023-02-18,11:54:17",big papa,I’m actually gonna write a journal on it if I end up following thru,
"2023-02-18,11:53:52",big papa,Start playing games on twitch and see if I can profit off of being a young Asian girl,
"2023-02-18,11:53:12",big papa,I wanna do a case study with myself,
"2023-02-18,11:53:06",big papa,Guys this summer,
"2023-02-18,00:17:18",MvPain,Facebook knows me too good,
"2023-02-17,23:15:30",big papa,🤔🤔🤔,
"2023-02-17,23:15:15",big papa,Macaron edibles ?,
"2023-02-17,23:15:06",big papa,one of these days we should collab and make cannabutter that I can whip with cream to make a butter cream filling for macarons,
"2023-02-17,23:14:29",big papa,<@657834634205200395>,aamindehkordi#1473
"2023-02-17,22:10:47",big papa,BAHAHAHHAHAHAHHAHAHA,Hat Tipper Lady Acquirer#1904
"2023-02-17,21:51:39",Hat Tipper Lady Acquirer,Says you with a meth head on campus,big papa#5892
"2023-02-17,21:46:07",big papa,Bruh L cui 💀,
"2023-02-17,21:46:02",big papa,On Presidents’ Day?,
"2023-02-17,21:45:56",big papa,Y’all have class???,
"2023-02-17,21:45:50",big papa,Whatever better for y’all,
"2023-02-17,21:45:46",big papa,I can also do tues or like maybe weekend or Friday,
"2023-02-17,21:45:36",big papa,unless y’all wanna do a dif day,
"2023-02-17,21:45:30",big papa,"I have to cook dinner Monday, I can link after dinner prob",jettaquino#4967
"2023-02-17,21:38:56",jettaquino,Then I'm free after,
"2023-02-17,21:38:47",jettaquino,I have class from 9:30  - 5,
"2023-02-17,21:38:10",Hat Tipper Lady Acquirer,Gym then climbing?,
"2023-02-17,21:37:53",Hat Tipper Lady Acquirer,I’m down,
"2023-02-17,21:37:20",~~Wild~~,but im free before and after,
"2023-02-17,21:37:13",~~Wild~~,oof,
"2023-02-17,21:37:11",~~Wild~~,i have class  from 5-9,
"2023-02-17,21:36:51",big papa,@everyone,
"2023-02-17,21:34:58",big papa,Please ?,
"2023-02-17,21:34:55",big papa,Climbing and gym?,
"2023-02-17,21:34:37",big papa,Or no,
"2023-02-17,21:34:34",big papa,Climbing?,
"2023-02-17,21:34:28",big papa,I have it off,
"2023-02-17,21:34:25",big papa,Who has school Monday,
"2023-02-17,20:53:55",KFC,josh is drunk af,
"2023-02-17,20:44:35",Hat Tipper Lady Acquirer,Should’ve brought me,
"2023-02-17,20:44:32",Hat Tipper Lady Acquirer,That looks lit,
"2023-02-17,20:20:29",~~Wild~~,https://tenor.com/view/american-psycho-patrick-bateman-american-psycho-gif-7212093,
"2023-02-17,20:19:58",KFC,tall girl is a rum fan btw robby,
"2023-02-17,14:13:10",Hat Tipper Lady Acquirer,Yes,
"2023-02-17,14:12:53",~~Wild~~,430?,
"2023-02-17,14:12:43",Hat Tipper Lady Acquirer,LMAO,
"2023-02-17,14:12:42",Hat Tipper Lady Acquirer,Yes sir,
"2023-02-17,13:55:49",~~Wild~~,soccer today?,
"2023-02-17,12:45:02",~~Wild~~,i found a really cool shirt,
"2023-02-17,12:44:50",~~Wild~~,https://media.discordapp.net/attachments/456352116269907968/1075995130009489449/I_am_afraid_of_women.png,
"2023-02-17,11:07:42",Hat Tipper Lady Acquirer,Kyle would be the guy to see one piece figures and say zooweemama,
"2023-02-17,11:06:59",KFC,zooweemama,
"2023-02-17,10:50:05",big papa,<@429701532309520404>,KFC#2019
"2023-02-16,16:43:29",aamindehkordi,That’s so funny but also scary,
"2023-02-16,15:09:17",big papa,Wack,
"2023-02-16,15:09:15",big papa,Cuz that’s where I was studying at that time and that’s the guy that bothered me,
"2023-02-16,15:08:52",big papa,Bruh someone posted about my interaction today,
"2023-02-16,13:55:56",MvPain,https://tenor.com/view/me-watching-my-past-self-interstellar-meme-watching-past-gif-25439819,
"2023-02-16,13:55:40",MvPain,Robbie all women are the same dont fall for the trap,
"2023-02-16,13:54:29",~~Wild~~,this bout to be yall mfs watching me rizz majo,
"2023-02-16,13:54:18",~~Wild~~,https://media.discordapp.net/attachments/456347479282286605/1075891443488534609/20230216_053252.jpg?width=810&height=610,
"2023-02-16,13:51:36",~~Wild~~,https://tenor.com/view/kdrama-handshake-shaking-hands-gif-26102712,
"2023-02-16,13:51:29",big papa,Bet,
"2023-02-16,13:51:24",~~Wild~~,$20 its over 45,
"2023-02-16,13:51:11",big papa,Ok but it could be like 45,
"2023-02-16,13:50:53",big papa,Hmmmmmm,
"2023-02-16,13:50:29",~~Wild~~,$20 that you were over 40,
"2023-02-16,13:50:14",~~Wild~~,how much you want to bet,
"2023-02-16,13:50:06",big papa,but the exam was straight up lecture,
"2023-02-16,13:49:54",big papa,To a Tee,
"2023-02-16,13:49:50",big papa,I studied all the readings and academic journals,
"2023-02-16,13:49:39",MvPain,putting up the ali numbers,
"2023-02-16,13:49:37",big papa,Not sure bout that,
"2023-02-16,13:49:16",~~Wild~~,i promise,
"2023-02-16,13:49:14",~~Wild~~,you got a 73 at least,
"2023-02-16,13:48:54",big papa,There is no way I got any better then a 40% on my last midterm,
"2023-02-16,13:22:46",aamindehkordi,He’s got extra 2 bedrooms and an office and a living room we can all sleep in,
"2023-02-16,13:22:24",aamindehkordi,I got an ok from my uncle so we spilled b chillin,
"2023-02-16,12:34:28",KFC,caf?,
"2023-02-16,12:09:39",jettaquino,Why lol,
"2023-02-16,12:04:06",big papa,These freshman girls are so crazy,
"2023-02-16,11:11:38",KFC,damn i really woke up at 11 for a class i dont have,
"2023-02-16,08:49:09",big papa,Let’s GOOOOO,
"2023-02-16,08:49:06",big papa,4 classes,
"2023-02-16,08:49:01",big papa,Ends at 2:50,
"2023-02-16,08:48:55",big papa,Starts at 9:30,
"2023-02-16,08:48:49",big papa,I have a 10 minute gap to sprint to my next class,
"2023-02-16,08:48:29",~~Wild~~,fuck,
"2023-02-16,08:48:19",big papa,I have 4 midterms today hahaha,
"2023-02-16,08:47:47",~~Wild~~,come hang at cui,
"2023-02-16,08:47:37",~~Wild~~,lmao,
"2023-02-16,08:47:30",big papa,Another moment where I wish I had friends tho,
"2023-02-16,08:47:04",big papa,I reported him yea,
"2023-02-16,08:44:44",~~Wild~~,did you call security,
"2023-02-16,08:44:43",big papa,😂😂😂💀💀,
"2023-02-16,08:44:41",Hat Tipper Lady Acquirer,Based,big papa#5892
"2023-02-16,08:44:36",Hat Tipper Lady Acquirer,Your school is falling apart,
"2023-02-16,08:44:32",big papa,Had a vendetta against UCI tho he was poppin off,
"2023-02-16,08:44:26",Hat Tipper Lady Acquirer,Some weirdo asked me to buy him a cigar yesterday at the Albertsons by UCI,
"2023-02-16,08:44:03",big papa,A adult man,
"2023-02-16,08:44:01",~~Wild~~,oh,
"2023-02-16,08:43:59",big papa,Was like,
"2023-02-16,08:43:57",big papa,Wasn’t a student,
"2023-02-16,08:43:51",~~Wild~~,what the uci caf be serving,
"2023-02-16,08:43:39",~~Wild~~,https://tenor.com/view/davechappelle-tyrone-krientaki-tyronebiggums-crackhead-gif-18262242,
"2023-02-16,08:41:35",Hat Tipper Lady Acquirer,The most put together UCI student,
"2023-02-16,08:28:10",~~Wild~~,crack aint for everyone,
"2023-02-16,08:27:15",big papa,That shit scared me goddamn,
"2023-02-16,08:24:16",big papa,💀,
"2023-02-16,08:24:13",big papa,LIKE DICK,
"2023-02-16,08:24:11",big papa,And he was like,
"2023-02-16,08:24:08",big papa,And I was like just looking at him,
"2023-02-16,08:24:01",big papa,Why does it smell like this everywhere,
"2023-02-16,08:23:55",big papa,He was like,
"2023-02-16,08:23:39",~~Wild~~,"also ""smells like dick"" actually had me laughing",
"2023-02-16,08:23:27",big papa,He was talking CRAZYYYYY,
"2023-02-16,08:23:23",big papa,he smelled so bad,
"2023-02-16,08:23:17",~~Wild~~,uci full of meth heads now,
"2023-02-16,08:23:15",big papa,I hate this school,
"2023-02-16,08:23:12",big papa,So fucking weird,
"2023-02-16,08:23:10",~~Wild~~,holy shit,
"2023-02-16,08:23:08",big papa,Fuck that,
"2023-02-16,08:23:06",big papa,So I also left,
"2023-02-16,08:23:02",big papa,But just now he left cuz he said he’s gonna show me something,
"2023-02-16,08:22:51",big papa,I tried to leave and he told me to sit or he’ll scream,
"2023-02-16,08:22:44",~~Wild~~,LMAO,
"2023-02-16,08:22:26",big papa,Scared the actual shit out of me,
"2023-02-16,08:22:17",big papa,Then started saying half of UCI smells like dick but the study room smells like vagina and he likes it,
"2023-02-16,08:21:54",big papa,Just sat next to me in my study room and was asking me all this weird shit,
"2023-02-16,08:21:37",big papa,And was talking so crazy,
"2023-02-16,08:21:33",big papa,Smelled like cigarettes and shit,
"2023-02-16,08:21:28",big papa,Def strung on something,
"2023-02-16,08:21:19",big papa,On campus,
"2023-02-16,08:21:15",big papa,This guy,
"2023-02-16,08:20:02",big papa,I just had the scariest interaction,
"2023-02-16,08:08:08",~~Wild~~,He's having Vietnam flashbacks,
"2023-02-16,08:03:21",big papa,LMFAOOOO,Hat Tipper Lady Acquirer#1904
"2023-02-16,07:56:20",Hat Tipper Lady Acquirer,What could he be dreaming of,
"2023-02-16,07:56:15",Hat Tipper Lady Acquirer,Dude Kyle just said gook in his sleep,
