Date,Username,Content,Mentions
"2023-02-19,22:46:49",big papa,I wanna try this place in Irvine,
"2023-02-19,22:46:38",big papa,Does anyone wanna get hotpot soon,
"2023-02-19,19:29:08",big papa,do u guys eat dinner before or after,
"2023-02-19,19:28:46",big papa,6pm? @everyone,
"2023-02-19,19:27:51",big papa,💀💀💀,
"2023-02-19,19:27:48",big papa,ROBERT,
"2023-02-19,19:27:10",big papa,What time,
"2023-02-19,19:27:09",big papa,But guys,
"2023-02-19,19:26:57",big papa,No I swear grip strength be shit 😭😭😭😭,aamindehkordi#1473
"2023-02-19,19:26:01",big papa,Maybe we can all get dinner after ! Or before,
"2023-02-19,19:25:15",big papa,@everyone can we go earlier then like 9pm tho cuz I have to wake up at 6am the next day for school,
"2023-02-19,19:23:39",big papa,💀💀💀,
"2023-02-19,19:23:17",big papa,Nope 😂😂😂,
"2023-02-19,19:23:13",big papa,I’m not very coordinated lol,
"2023-02-19,19:23:06",big papa,no I’m fr,
"2023-02-19,19:23:00",big papa,We can go practice as newbs,
"2023-02-19,19:22:52",big papa,I barely can do some v1 haha,MvPain#4262
"2023-02-19,19:21:30",big papa,Why no climb ?,MvPain#4262
"2023-02-19,19:14:59",big papa,Tomo?,
"2023-02-19,19:14:55",big papa,Climbing & gym?,
"2023-02-19,19:14:50",big papa,So,
"2023-02-19,19:14:48",big papa,@everyone,
"2023-02-19,19:14:39",big papa,😂,
"2023-02-19,18:20:18",big papa,Maybe she just a bad driver like me 😭,
"2023-02-19,18:20:10",big papa,I be edging my parking spot bro I can’t park,
"2023-02-19,18:19:50",big papa,That’s me,Hat Tipper Lady Acquirer#1904
"2023-02-19,18:14:48",big papa,What happen,Hat Tipper Lady Acquirer#1904
"2023-02-19,17:56:31",big papa,I think they said few hundred when I asked,MvPain#4262
"2023-02-19,17:56:16",big papa,UCI 😂,KFC#2019
"2023-02-19,17:56:10",big papa,Like a master program kinda,Hat Tipper Lady Acquirer#1904
"2023-02-19,17:48:38",big papa,I NEED IT,
"2023-02-19,17:48:30",big papa,Only 10 people get in out of all their applicants,
"2023-02-19,17:48:18",big papa,I just submitted my PostBacc shit,
"2023-02-19,17:48:11",big papa,Y’all imma need ur PRAYERS,
"2023-02-19,17:09:55",big papa,Definetley not Bsian,
"2023-02-19,17:09:49",big papa,My dad says it’s Asian not A-sian,~~Wild~~#5104
"2023-02-19,10:49:03",big papa,it’s soooo good like that,
"2023-02-19,10:48:58",big papa,<@429701532309520404> natto with a egg yolk cracked in just changed my life,KFC#2019
"2023-02-18,15:07:31",big papa,I don’t think they ever drink water,
"2023-02-18,15:07:21",big papa,Bruh my grandparents are crazy look at this,
"2023-02-18,12:11:09",big papa,💀,
"2023-02-18,12:11:08",big papa,HOW DO U PLAY GAMES IN THE HOT TUB,
"2023-02-18,12:11:01",big papa,HOT TUB STREAMER,
"2023-02-18,11:59:29",big papa,😂😂😂😂,
"2023-02-18,11:59:25",big papa,Wait what was the point of this,Hat Tipper Lady Acquirer#1904
"2023-02-18,11:56:05",big papa,Yesssss,aamindehkordi#1473
"2023-02-18,11:55:48",big papa,Like an actually interesting case study,
"2023-02-18,11:55:38",big papa,Wouldn’t it be interesting,
"2023-02-18,11:54:34",big papa,💀,
"2023-02-18,11:54:31",big papa,Like an actual longitudal case study,
"2023-02-18,11:54:17",big papa,I’m actually gonna write a journal on it if I end up following thru,
"2023-02-18,11:53:52",big papa,Start playing games on twitch and see if I can profit off of being a young Asian girl,
"2023-02-18,11:53:12",big papa,I wanna do a case study with myself,
"2023-02-18,11:53:06",big papa,Guys this summer,
"2023-02-17,23:15:30",big papa,🤔🤔🤔,
"2023-02-17,23:15:15",big papa,Macaron edibles ?,
"2023-02-17,23:15:06",big papa,one of these days we should collab and make cannabutter that I can whip with cream to make a butter cream filling for macarons,
"2023-02-17,23:14:29",big papa,<@657834634205200395>,aamindehkordi#1473
"2023-02-17,22:10:47",big papa,BAHAHAHHAHAHAHHAHAHA,Hat Tipper Lady Acquirer#1904
"2023-02-17,21:46:07",big papa,Bruh L cui 💀,
"2023-02-17,21:46:02",big papa,On Presidents’ Day?,
"2023-02-17,21:45:56",big papa,Y’all have class???,
"2023-02-17,21:45:50",big papa,Whatever better for y’all,
"2023-02-17,21:45:46",big papa,I can also do tues or like maybe weekend or Friday,
"2023-02-17,21:45:36",big papa,unless y’all wanna do a dif day,
"2023-02-17,21:45:30",big papa,"I have to cook dinner Monday, I can link after dinner prob",jettaquino#4967
"2023-02-17,21:36:51",big papa,@everyone,
"2023-02-17,21:34:58",big papa,Please ?,
"2023-02-17,21:34:55",big papa,Climbing and gym?,
"2023-02-17,21:34:37",big papa,Or no,
"2023-02-17,21:34:34",big papa,Climbing?,
"2023-02-17,21:34:28",big papa,I have it off,
"2023-02-17,21:34:25",big papa,Who has school Monday,
"2023-02-17,10:50:05",big papa,<@429701532309520404>,KFC#2019
"2023-02-16,15:09:17",big papa,Wack,
"2023-02-16,15:09:15",big papa,Cuz that’s where I was studying at that time and that’s the guy that bothered me,
"2023-02-16,15:08:52",big papa,Bruh someone posted about my interaction today,
"2023-02-16,13:51:29",big papa,Bet,
"2023-02-16,13:51:11",big papa,Ok but it could be like 45,
"2023-02-16,13:50:53",big papa,Hmmmmmm,
"2023-02-16,13:50:06",big papa,but the exam was straight up lecture,
"2023-02-16,13:49:54",big papa,To a Tee,
"2023-02-16,13:49:50",big papa,I studied all the readings and academic journals,
"2023-02-16,13:49:37",big papa,Not sure bout that,
"2023-02-16,13:48:54",big papa,There is no way I got any better then a 40% on my last midterm,
"2023-02-16,12:04:06",big papa,These freshman girls are so crazy,
"2023-02-16,08:49:09",big papa,Let’s GOOOOO,
"2023-02-16,08:49:06",big papa,4 classes,
"2023-02-16,08:49:01",big papa,Ends at 2:50,
"2023-02-16,08:48:55",big papa,Starts at 9:30,
"2023-02-16,08:48:49",big papa,I have a 10 minute gap to sprint to my next class,
"2023-02-16,08:48:19",big papa,I have 4 midterms today hahaha,
"2023-02-16,08:47:30",big papa,Another moment where I wish I had friends tho,
"2023-02-16,08:47:04",big papa,I reported him yea,
"2023-02-16,08:44:43",big papa,😂😂😂💀💀,
"2023-02-16,08:44:32",big papa,Had a vendetta against UCI tho he was poppin off,
"2023-02-16,08:44:03",big papa,A adult man,
"2023-02-16,08:43:59",big papa,Was like,
"2023-02-16,08:43:57",big papa,Wasn’t a student,
"2023-02-16,08:27:15",big papa,That shit scared me goddamn,
"2023-02-16,08:24:16",big papa,💀,
"2023-02-16,08:24:13",big papa,LIKE DICK,
"2023-02-16,08:24:11",big papa,And he was like,
"2023-02-16,08:24:08",big papa,And I was like just looking at him,
"2023-02-16,08:24:01",big papa,Why does it smell like this everywhere,
"2023-02-16,08:23:55",big papa,He was like,
"2023-02-16,08:23:27",big papa,He was talking CRAZYYYYY,
"2023-02-16,08:23:23",big papa,he smelled so bad,
"2023-02-16,08:23:15",big papa,I hate this school,
"2023-02-16,08:23:12",big papa,So fucking weird,
"2023-02-16,08:23:08",big papa,Fuck that,
"2023-02-16,08:23:06",big papa,So I also left,
"2023-02-16,08:23:02",big papa,But just now he left cuz he said he’s gonna show me something,
"2023-02-16,08:22:51",big papa,I tried to leave and he told me to sit or he’ll scream,
"2023-02-16,08:22:26",big papa,Scared the actual shit out of me,
"2023-02-16,08:22:17",big papa,Then started saying half of UCI smells like dick but the study room smells like vagina and he likes it,
"2023-02-16,08:21:54",big papa,Just sat next to me in my study room and was asking me all this weird shit,
"2023-02-16,08:21:37",big papa,And was talking so crazy,
"2023-02-16,08:21:33",big papa,Smelled like cigarettes and shit,
"2023-02-16,08:21:28",big papa,Def strung on something,
"2023-02-16,08:21:19",big papa,On campus,
"2023-02-16,08:21:15",big papa,This guy,
"2023-02-16,08:20:02",big papa,I just had the scariest interaction,
"2023-02-16,08:03:21",big papa,LMFAOOOO,Hat Tipper Lady Acquirer#1904
"2023-02-15,17:41:28",big papa,I think it’ll stop soon tho,
"2023-02-15,17:41:23",big papa,And now my mouth bleeding,
"2023-02-15,17:41:18",big papa,But I think I cut more then one off on accident,
"2023-02-15,17:41:09",big papa,Cuz it was bugging me,
"2023-02-15,17:41:05",big papa,I cut it off with scissors,
"2023-02-15,17:40:55",big papa,Like if u bit ur tongue it’s usually like that the next day,
"2023-02-15,17:40:45",big papa,U know when u have a random tastebud that hurts like a bitch one day,
"2023-02-15,17:40:32",big papa,inflamed tastebud,
"2023-02-15,17:40:26",big papa,I had one of those like,
"2023-02-15,17:38:46",big papa,my mouth is bloody 😂😂😂,
"2023-02-15,17:38:32",big papa,BAHAHAHHAHAHA,
"2023-02-15,17:38:17",big papa,But look at this dumbass shit that I just did,
"2023-02-15,17:38:03",big papa,Nobody panic,
"2023-02-15,15:16:09",big papa,Timmy,
"2023-02-15,15:16:07",big papa,Yup,
"2023-02-15,15:10:49",big papa,<@573586960938172466> thought of u,Hat Tipper Lady Acquirer#1904
"2023-02-15,15:10:40",big papa,There’s a Mexican guy working at this blue bowl,
"2023-02-15,14:22:30",big papa,Damn,
"2023-02-15,14:21:48",big papa,Oh tonight,
"2023-02-15,14:04:10",big papa,Do I win prize,
"2023-02-15,14:04:07",big papa,Can I participate,
"2023-02-15,14:04:04",big papa,What is this,KFC#2019
"2023-02-15,13:48:34",big papa,Lol,Hat Tipper Lady Acquirer#1904
"2023-02-15,13:24:35",big papa,I needed money for <@573586960938172466> birthday present,Hat Tipper Lady Acquirer#1904
"2023-02-15,13:24:26",big papa,I’m so glad,
"2023-02-15,13:19:21",big papa,Not $225,
"2023-02-15,13:18:54",big papa,I negotiated with this guy to give me $300 for his paper,
"2023-02-15,13:18:43",big papa,Update,
"2023-02-14,22:34:15",big papa,I told him to walk while lunging and motion putting on deodorant,
"2023-02-14,17:31:38",big papa,I actually start crying,
"2023-02-14,17:31:33",big papa,I cry,
"2023-02-14,17:21:42",big papa,😭😭😭😭😭,
"2023-02-14,17:21:39",big papa,THANKS GUYS,
"2023-02-14,17:21:37",big papa,AWWWWW,
"2023-02-14,00:51:33",big papa,Happy Valentine’s Day to my favorite boys & prettiest girl cat 🤍🤍🤍 love you all and hope that whether single or not you guys can all appreciate the day of love by reflecting on all the people you love in your life (romantically or not)! I love you all very much as best friends and always wish u guys the best ever & hope you guys keep doing what y’all are doing and love each other hehe. Happy valentines !! :-))) @everyone,
"2023-02-13,23:31:44",big papa,That reminded me of them lol,
"2023-02-13,23:31:37",big papa,I have an ex-best friend who one year changed to they/them and likes to be called lizard king,aamindehkordi#1473
"2023-02-13,20:27:35",big papa,Who did that 😭😭😭,
"2023-02-13,20:27:29",big papa,1/11 😭😭😭😭,
"2023-02-13,17:08:55",big papa,THATS CRAZY WHAT THE GOOD JOBBB ROBBY !!! 🥳🥳🥳,~~Wild~~#5104
"2023-02-13,17:08:33",big papa,EWWWWW,
"2023-02-13,11:55:10",big papa,I don’t think so 😂😂,
"2023-02-13,11:42:41",big papa,Look what UCI has,
"2023-02-13,11:42:33",big papa,<@246124303643312138> bruh,~~Wild~~#5104
"2023-02-13,09:32:40",big papa,"<@176517621951365120> you were in my dream and ur dad (idk who ur dad is tho or what he looks like but I knew it was ur dad). Anyways In my dream I was using a measuring tape and measuring how tall u guys are and we found out you guys are giants, at some point u went back home by boat and that was sad, <@443274224505716741> was also in my dream and bald, idk why but he was",MvPain#4262、jettaquino#4967
"2023-02-12,20:47:33",big papa,Who is coming ?,
"2023-02-12,20:43:22",big papa,Oh yayyyy,jettaquino#4967
"2023-02-12,20:40:30",big papa,Can we go earlier than 1,
"2023-02-12,20:40:25",big papa,@everyone Jett has to be back by 2,
"2023-02-12,20:29:05",big papa,😂😂😂,
"2023-02-12,20:29:03",big papa,My b I meant to tag Ali I saw u said yes already,Hat Tipper Lady Acquirer#1904
"2023-02-12,20:28:26",big papa,R u guys coming too?,
"2023-02-12,20:28:21",big papa,<@657834634205200395> <@176517621951365120> <@429701532309520404> <@853858084866621480> <@564324586012016650> <@443274224505716741>,MvPain#4262、jettaquino#4967、IsaacM#8081、Teela Pup#8038、aamindehkordi#1473、KFC#2019
"2023-02-12,20:27:42",big papa,Just text me,
"2023-02-12,20:27:39",big papa,Pick me up whenever,
"2023-02-12,20:27:21",big papa,sounds good,
"2023-02-12,20:26:49",big papa,I have to go back to school no later than 3,
"2023-02-12,20:26:40",big papa,Oh,KFC#2019
"2023-02-12,20:26:23",big papa,Oki I’m down,
"2023-02-12,20:25:22",big papa,THATS SO FAR,~~Wild~~#5104
"2023-02-12,20:25:10",big papa,This slay,aamindehkordi#1473
"2023-02-12,20:24:58",big papa,Yup,~~Wild~~#5104
"2023-02-12,20:24:39",big papa,Anyone wanna hang between their classes tomo for lunch?,
"2023-02-12,20:24:26",big papa,Anyways,
"2023-02-12,20:24:01",big papa,I’ll prob finish it by a couple weeks tho,
"2023-02-12,20:23:44",big papa,I have over a month to write it,
"2023-02-12,20:23:38",big papa,Also,
"2023-02-12,20:23:37",big papa,it’s easy,
"2023-02-12,20:23:36",big papa,Nopeeee,
"2023-02-12,20:21:38",big papa,English?,
"2023-02-12,20:21:36",big papa,Like a major-requirement not even a subject really,
"2023-02-12,20:21:22",big papa,Just a upper div writing course,
"2023-02-12,20:21:10",big papa,I’ll def have to ask u about some of this,aamindehkordi#1473
"2023-02-12,20:21:01",big papa,mhmmm and as a psych major I can pull a lot of the male gaze ideologies from case studies I’ve already read up on,
"2023-02-12,20:20:16",big papa,Actually a fun topic,
"2023-02-12,20:20:12",big papa,"On the sexualization of female twitch streamers/gamers, basically focusing on the male vs female gaze/audience when it comes to sexualizing/fantasizing about people on a digital platform. Like how female streamers that are hot get hella tips for being hot despite the platform technically being a place to showcase gamers for their gameplays n stuff",
"2023-02-12,20:18:08",big papa,Topic is real interesting I think I can do it well,
"2023-02-12,20:17:49",big papa,I said yes,aamindehkordi#1473
"2023-02-12,19:47:28",big papa,Yupppp,aamindehkordi#1473
"2023-02-12,19:45:30",big papa,this is good for me lol,
"2023-02-12,19:45:10",big papa,I’m so broke rn,
"2023-02-12,19:44:19",big papa,Not me saying yes so I can keep feeding and buying @everyone things 😂😂😂😂,
"2023-02-12,19:37:56",big papa,Research paper,
"2023-02-12,19:35:04",big papa,For $150,
"2023-02-12,19:35:01",big papa,Should I write a 14-page paper for someone,
"2023-02-12,18:41:07",big papa,I don’t get it,
"2023-02-12,18:41:02",big papa,Bruh,
"2023-02-12,18:41:01",big papa,he cheated on Megan Fox and they r done now,
"2023-02-12,18:40:52",big papa,How did MGK fumble,
"2023-02-12,18:40:47",big papa,Bruh,
"2023-02-12,18:24:41",big papa,🤭,
"2023-02-12,18:24:21",big papa,So I made it,
"2023-02-12,18:24:17",big papa,I was craving the mentai butter udon from mitsuwa,
"2023-02-12,18:24:08",big papa,Also guys look,
"2023-02-12,18:16:11",big papa,Called ASAP rocky for a reason goddam,
"2023-02-12,18:15:59",big papa,And prego again,
"2023-02-12,18:15:51",big papa,She just had her baby,
"2023-02-12,18:15:32",big papa,AGAIN,
"2023-02-12,18:15:30",big papa,PREGNANT,
"2023-02-12,18:15:28",big papa,But Rihanna,
"2023-02-12,10:26:21",big papa,<@573586960938172466> u in the back haha,Hat Tipper Lady Acquirer#1904
"2023-02-11,20:13:37",big papa,But idk what’s happening with this duo rn bruh,
"2023-02-11,20:13:26",big papa,<@564324586012016650> u were sooooo good,Teela Pup#8038
"2023-02-11,20:13:17",big papa,They really put the most ass group after cat,
"2023-02-11,20:13:01",big papa,Dancing in the minefields,
"2023-02-11,19:48:21",big papa,So cyootttt :3,
"2023-02-11,12:07:04",big papa,If anyone wants to go for lunch :-)),
"2023-02-11,12:06:57",big papa,Right next to omomo,
"2023-02-11,12:06:53",big papa,We are going to Crazy rock n sushi rn,
"2023-02-09,22:46:10",big papa,Saturday gym?,
"2023-02-09,22:45:59",big papa,@everyone Saturday lunch?,
"2023-02-09,22:00:22",big papa,Oh dangggg,
"2023-02-09,21:54:27",big papa,what’s that,
"2023-02-09,21:54:24",big papa,Btfod,~~Wild~~#5104
"2023-02-09,20:53:44",big papa,What test,aamindehkordi#1473
"2023-02-09,11:38:53",big papa,7:30am-7:00pm @uci on thurs,
"2023-02-09,11:38:42",big papa,Every Thursday lol,
"2023-02-09,11:38:37",big papa,When I get my car back tho I will be there like,
"2023-02-09,11:34:39",big papa,car still not fixed 🥲,
"2023-02-09,11:34:23",big papa,I don’t have my car to drive there and back for class atm lol,~~Wild~~#5104
"2023-02-09,11:29:19",big papa,Sometimes I wish I dormed I wanna nap,
"2023-02-09,11:28:40",big papa,so this is what it’s come to 😦,
"2023-02-09,11:15:39",big papa,Well I don’t but it’s giving ASTROBOY,
"2023-02-09,11:15:15",big papa,I hate them,
"2023-02-09,11:15:01",big papa,$350 for these boots,
"2023-02-08,10:27:09",big papa,,
"2023-02-08,08:59:51",big papa,Someone wrote ME down,
"2023-02-08,08:59:47",big papa,I didn’t write anyone down,
"2023-02-08,08:41:24",big papa,"had a dream I was in the niga note skit but I was the mf who got shot via driveby, I woke up very angry",
"2023-02-08,00:10:19",big papa,Yup,
"2023-02-08,00:10:17",big papa,Add powder sauces n stuff,
"2023-02-08,00:10:12",big papa,Drain water,
